"record_nbr","pay_year","fms_dept","fms_department_title","job_class_pgrade","job_title","employment_type","job_status","mou","mou_title","regular_pay","overtime_pay","all_other_pay","total_pay","city_retirement_contributions","benefit_pay","gender","ethnicity"
"303032343933","2018","94","TRANSPORTATION","1702-1","EMERGENCY MANAGEMENT COORDINATOR I","FULL_TIME","ACTIVE","20","SUPERVISORY ADMINISTRATIVE","105520","1487.85","0","107007.85","31297.232","15581.53","MALE","CAUCASIAN"
"3030323439","2018","88","RECREATION AND PARKS","2498-0","RECREATION ASSISTANT","PART_TIME","ACTIVE","07","RECREATION ASSISTANTS","51.87","0","0","51.87","0","0","MALE","CAUCASIAN"
"3030323532","2018","70","POLICE","2214-2","POLICE OFFICER II","FULL_TIME","NOT_ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","106761.64","1223.52","1525","109510.16","50017.82834","15811.74","FEMALE","BLACK"
"303032353533","2018","70","POLICE","3181-0","SECURITY OFFICER","PART_TIME","ACTIVE","18","SAFETY / SECURITY","19140.18","0","1528.08","20668.26","0","0","MALE","BLACK"
"3030323535","2018","70","POLICE","2232-2","POLICE LIEUTENANT II","FULL_TIME","NOT_ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","150293.79","1485.94","2266.35","154046.08","65394.490265","17603.1","MALE","HISPANIC"
"303032353633","2018","88","RECREATION AND PARKS","2498-0","RECREATION ASSISTANT","PART_TIME","ACTIVE","07","RECREATION ASSISTANTS","6666.5","0","0","6666.5","0","0","MALE","HISPANIC"
"3030323538","2018","4","AIRPORTS","3225-3","AIRPORT POLICE OFFICER III","FULL_TIME","ACTIVE","30","LOS ANGELES AIRPORT PEACE OFFICERS","108714.64","29502.77","4374.06","142591.47","32244.762224","13526.4","MALE","HISPANIC"
"303032353833","2018","14","CITY CLERK","0723-0","INTERMEDIATE ELECTION CLERK","PART_TIME","NOT_ACTIVE","00","NON-REPRESENTED","485.46","0","0","485.46","0","0","MALE","CAUCASIAN"
"303032353933","2018","38","FIRE","2112-1","FIREFIGHTER I","FULL_TIME","NOT_ACTIVE","23","FIREFIGHTERS AND FIRE CAPTAINS","12332.34","1317.96","306","13956.3","3657.772044","1200.73","MALE","HISPANIC"
"3030323633","2018","70","POLICE","2232-2","POLICE LIEUTENANT II","FULL_TIME","ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","183541.4","64180.59","6899.24","254621.23","85989.1459","17886","MALE","CAUCASIAN"
"3030323635","2018","42","HARBOR","1368-0","SENIOR ADMINISTRATIVE CLERK","FULL_TIME","NOT_ACTIVE","03","CLERICAL","61196.96","1883.84","350.89","63431.69","18151.018336","7987.92","FEMALE","FILIPINO"
"303032363833","2018","76","PUBLIC WORKS - CONTRACT ADMINISTRATION","1539-0","MANAGEMENT ASSISTANT","FULL_TIME","NOT_ACTIVE","01","ADMINISTRATIVE","4624","0","115.6","4739.6","1371.4784","0","MALE","OTHER"
"303032363833","2018","94","TRANSPORTATION","9135-0","ADMINISTRATIVE HEARING OFFICER","PART_TIME","NOT_ACTIVE","01","ADMINISTRATIVE","25018.66","0","0","25018.66","0","0","MALE","OTHER"
"303032363933","2018","14","CITY CLERK","0725-0","SENIOR ELECTION CLERK","PART_TIME","NOT_ACTIVE","00","NON-REPRESENTED","20888.2","1655.76","0","22543.96","0","1441.7","MALE","ASIAN"
"3030323733","2018","82","PUBLIC WORKS - SANITATION","3844-0","INSTRUMENT MECHANIC SUPERVISOR","FULL_TIME","ACTIVE","09","PLANT EQUIPMENT OPERATION AND REPAIR","130852.04","0","10189.08","141041.12","38810.715064","7987.92","MALE","CAUCASIAN"
"303032373533","2018","82","PUBLIC WORKS - SANITATION","3843-0","INSTRUMENT MECHANIC","FULL_TIME","ACTIVE","09","PLANT EQUIPMENT OPERATION AND REPAIR","108873.12","313.41","11660.89","120847.42","32291.767392","16794.96","MALE","ASIAN"
"303032373733","2018","70","POLICE","3211-0","DETENTION OFFICER","FULL_TIME","ACTIVE","18","SAFETY / SECURITY","23483.22","0","895","24378.22","6965.123052","3254.72","MALE","CAUCASIAN"
"303032373932","2018","70","POLICE","2214-2","POLICE OFFICER II","FULL_TIME","ACTIVE","24","POLICE OFFICERS, LIEUTENANT AND BELOW","101478.6","6825.59","2566.71","110870.9","47542.7241","12306.73","MALE","CAUCASIAN"
"303032373933","2018","70","POLICE","2236-1","CRIME AND INTELLIGENCE ANALYST I","FULL_TIME","NOT_ACTIVE","01","ADMINISTRATIVE","29579.2","0","0","29579.2","8773.19072","8016.03","FEMALE","CAUCASIAN"
"303032383033","2018","44","LIBRARY","1358-0","ADMINISTRATIVE CLERK","FULL_TIME","NOT_ACTIVE","03","CLERICAL","55021.08","0","19.66","55040.74","16319.252328","7987.92","MALE","HISPANIC"
"3030323831","2018","22","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","1579-0","CHIEF GRANTS ADMINISTRATOR","FULL_TIME","NOT_ACTIVE","00","NON-REPRESENTED","0","0","782.18","782.18","0","0","MALE","CAUCASIAN"
